b,f,bytes,events,fragments,seek_ns,make_ns,apply_ns,typed_p50_ns,typed_p99_ns,typed_max_ns,back_p50_ns,back_p99_ns,report_ns,replay_ms,from_walk_ms,move_us,append_us
32,32,2000000,7002,68824,84,1125,203917,205207,500167,585458,445500,902625,166,182.1,82.8,272070,267
32,32,2000000,7002,68824,84,1166,205958,207291,508333,604000,447834,948958,166,181.0,83.4,274298,266
32,128,20000,7002,6589,125,875,170709,171791,380458,429042,353375,731000,166,5.7,5.0,5768,259
32,128,20000,7002,6589,125,875,169167,170167,377749,432167,352167,727542,166,5.7,4.9,5756,262
32,128,20000,7002,6589,125,875,168458,169375,374167,458750,351416,712625,125,5.7,5.0,5700,262
32,128,200000,7002,8053,166,917,171583,172584,392250,468916,362458,737708,208,22.4,13.0,31058,274
32,128,200000,7002,8053,166,917,169792,170750,391833,471250,358541,726083,208,22.3,13.1,31000,268
32,128,200000,7002,8053,125,917,170250,171292,394041,454291,358375,720499,208,22.5,13.2,30935,277
32,128,2000000,7002,22088,166,1000,178625,179792,426166,497375,390501,818875,209,183.8,94.8,280137,272
32,128,2000000,7002,22088,166,1000,176917,178249,435917,534458,389584,800000,209,181.3,95.2,281680,266
32,128,2000000,7002,22088,166,1000,177417,178541,432458,474292,389708,796708,250,183.3,95.3,280277,270
32,512,20000,7002,6474,125,875,167958,168833,375875,429500,349999,676917,166,5.7,5.0,5857,273
32,512,20000,7002,6474,125,833,165709,166667,367000,425167,345959,664876,166,5.7,4.9,5779,264
32,512,20000,7002,6474,125,833,166333,167167,370250,426625,347292,667167,125,5.6,5.0,5797,263
32,512,200000,7002,6888,125,875,162000,162917,381458,444042,344458,703500,167,22.4,15.4,33167,272
32,512,200000,7002,6888,125,875,161167,162084,378083,441333,341666,694459,167,21.9,15.6,33350,291
32,512,200000,7002,6888,125,875,163083,164000,380916,440875,346125,696291,167,22.0,15.6,33108,274
32,512,2000000,7002,10404,167,1000,174375,175499,398542,466584,376583,733583,209,179.6,120.4,306475,262
32,512,2000000,7002,10404,167,1000,174666,175792,401166,500541,376666,735041,209,182.1,119.7,305771,270
32,512,2000000,7002,10404,167,1000,174583,175542,407833,468750,378417,748583,209,178.9,120.7,305303,267
64,32,20000,7002,7045,333,1291,707125,708459,1438834,1749834,1355250,2617792,375,5.6,4.8,5665,261
64,32,20000,7002,7045,333,1291,706500,708042,1442958,1762042,1383000,2633917,375,5.6,4.8,5644,271
64,32,20000,7002,7045,292,1291,705250,706875,1460500,1757459,1358000,2597250,375,5.6,4.8,5713,265
64,32,200000,7002,12720,166,1500,643417,645000,1368124,1559874,1293458,2598917,167,21.9,11.7,29755,272
64,32,200000,7002,12720,166,1500,645666,647583,1401000,2019751,1299917,2543667,208,22.1,11.9,29915,272
64,32,200000,7002,12720,166,1500,639167,640749,1385333,1510666,1290833,2544417,167,22.2,11.8,29960,269
64,32,2000000,7002,68824,250,1875,695333,697333,1660916,1976666,1443000,3043874,416,186.1,83.3,272158,266
64,32,2000000,7002,68824,250,1834,685542,687417,1665875,2009500,1432875,3048334,375,183.7,83.6,271881,264
64,32,2000000,7002,68824,250,1875,685625,687625,1645417,1876334,1436042,2994500,375,184.4,82.6,272406,262
64,128,20000,7002,6589,333,1208,669500,670959,1418041,1627459,1310042,2568542,417,5.7,5.0,5788,270
64,128,20000,7002,6589,333,1209,673458,674667,1416500,1635334,1315625,2569417,417,5.6,5.0,5842,268
64,128,20000,7002,6589,333,1208,671875,673084,1420125,1621417,1314292,2569792,416,5.7,5.0,5814,270
64,128,200000,7002,8053,208,1125,666209,668459,1368375,1531542,1266208,2636166,291,21.8,13.0,30992,274
64,128,200000,7002,8053,208,1083,661417,662833,1356875,1569000,1251334,2624626,250,22.3,13.1,31129,264
64,128,200000,7002,8053,208,1125,666250,668000,1357124,1528208,1260751,2649916,250,22.2,13.2,30835,267
64,128,2000000,7002,22088,125,1583,617500,619332,1389709,1623250,1252583,2535000,208,183.7,94.8,281822,263
64,128,2000000,7002,22088,125,1584,616416,617916,1393001,1604834,1251459,2551042,167,185.3,95.7,280722,263
64,128,2000000,7002,22088,125,1583,615458,617000,1365667,1609958,1251541,2519417,208,183.8,93.7,280964,272
64,512,20000,7002,6474,333,1250,676959,678458,1580917,2748334,1331875,2671499,417,5.7,5.1,5973,270
64,512,20000,7002,6474,333,1250,673500,674625,1445250,1705500,1315583,2637083,417,5.6,5.0,5798,268
64,512,20000,7002,6474,333,1291,675000,676250,1422042,1681374,1318666,2566292,417,5.7,5.0,5961,269
64,512,200000,7002,6888,292,1167,667333,668791,1487500,1816334,1300792,2652458,375,22.5,15.7,33914,278
64,512,200000,7002,6888,292,1167,656875,658584,1440292,1611334,1276833,2569958,375,22.5,15.8,33631,276
64,512,200000,7002,6888,292,1166,657208,658750,1406417,1619458,1276541,2556417,375,22.4,15.9,34051,271
64,512,2000000,7002,10404,167,1458,651291,652833,1421458,1622000,1300416,2730583,208,181.4,124.5,306689,271
64,512,2000000,7002,10404,167,1500,653833,655083,1431375,1616792,1301458,2728208,208,183.9,122.1,306075,268
64,512,2000000,7002,10404,167,1459,658458,660125,1422625,1581667,1300875,2698875,208,183.5,122.6,307121,283
