b,f,bytes,events,fragments,seek_ns,make_ns,apply_ns,typed_p50_ns,typed_p99_ns,typed_max_ns,back_p50_ns,back_p99_ns,report_ns,replay_ms,from_walk_ms,move_us,append_us
32,32,2000000,7002,68824,83,375,8791,9209,29042,118833,17333,47292,83,185.4,86.9,274711,279
32,32,2000000,7002,68824,42,375,8709,9167,27208,38500,17167,44458,83,187.1,84.5,272096,273
32,128,20000,7002,6589,42,292,7000,7416,22583,29042,13999,34792,42,5.8,4.9,5750,270
32,128,20000,7002,6589,42,292,7000,7376,21625,27291,13833,34666,42,5.7,4.8,5584,270
32,128,20000,7002,6589,42,292,7000,7416,21708,43041,13708,34333,42,5.9,4.9,5655,265
32,128,200000,7002,8053,83,291,7125,7459,21541,28000,13542,33750,83,22.5,13.3,31235,265
32,128,200000,7002,8053,83,292,7083,7417,21209,28042,13459,33625,83,22.1,13.2,31003,266
32,128,200000,7002,8053,83,292,7125,7500,21959,26166,13666,35292,83,22.4,13.2,31109,268
32,128,2000000,7002,22088,83,333,8042,8458,24250,38417,15375,39166,83,186.4,94.5,280933,269
32,128,2000000,7002,22088,83,333,8041,8417,24334,28999,15416,39458,83,185.2,95.9,280827,271
32,128,2000000,7002,22088,83,333,8083,8459,25500,61542,15334,40458,83,184.5,95.4,280316,271
32,512,20000,7002,6474,83,292,7167,7583,24708,112041,14416,39458,42,5.9,5.3,6087,281
32,512,20000,7002,6474,83,292,7083,7459,23000,104250,14126,35624,42,6.0,5.4,6091,283
32,512,20000,7002,6474,83,292,7125,7541,22875,41209,14166,37792,42,6.4,4.9,6372,286
32,512,200000,7002,6888,83,291,6958,7292,22459,26541,13667,37458,83,22.3,15.6,33204,281
32,512,200000,7002,6888,83,291,7125,7499,25084,57874,13876,38917,83,25.4,17.2,34588,272
32,512,200000,7002,6888,83,291,7042,7416,23791,28584,13749,39541,83,22.7,15.5,33911,283
32,512,2000000,7002,10404,83,292,7292,7667,23417,25584,13917,36250,83,186.4,122.7,315073,263
32,512,2000000,7002,10404,83,292,7333,7708,22958,29459,14084,37083,83,188.1,127.3,321580,286
32,512,2000000,7002,10404,83,292,7334,7749,23874,31583,14125,37125,83,183.3,121.5,304908,270
64,32,20000,7002,7045,166,500,11000,11584,29625,34667,21291,48416,125,5.7,4.6,5364,260
64,32,20000,7002,7045,166,500,11125,11749,29542,38416,21499,48833,166,5.7,4.6,5417,269
64,32,20000,7002,7045,166,500,11125,11708,30709,44250,21541,49959,125,5.7,4.5,5418,260
64,32,200000,7002,12720,83,417,11083,11584,29792,34126,21625,49958,83,22.4,11.7,29176,268
64,32,200000,7002,12720,83,417,11125,11666,29666,32750,21834,51084,83,22.2,11.4,29634,274
64,32,200000,7002,12720,83,417,11083,11583,29250,32459,21667,50042,83,22.0,11.1,28938,266
64,32,2000000,7002,68824,125,583,12750,13458,38000,41500,25874,64959,125,186.1,83.6,270118,272
64,32,2000000,7002,68824,125,583,12791,13459,41417,81250,25916,72167,125,201.9,84.6,524045,306
64,32,2000000,7002,68824,125,542,12375,13082,35792,42374,25084,61417,125,188.1,85.6,278826,277
64,128,20000,7002,6589,125,458,11042,11667,31583,37333,21208,49167,125,5.8,4.8,5542,273
64,128,20000,7002,6589,125,458,11000,11625,30583,33084,21126,50375,125,6.3,5.3,5958,274
64,128,20000,7002,6589,125,417,10792,11416,29541,37291,20792,48417,125,5.7,4.7,5777,270
64,128,200000,7002,8053,84,416,11042,11626,32793,44124,21126,51751,84,23.2,14.4,30286,264
64,128,200000,7002,8053,84,375,10833,11416,29250,34958,20833,48083,84,23.2,12.8,31272,265
64,128,200000,7002,8053,84,416,11000,11625,30416,34667,21125,49249,84,23.0,13.0,31392,269
64,128,2000000,7002,22088,83,458,11125,11625,29500,33792,22292,49000,83,181.1,94.7,279853,296
64,128,2000000,7002,22088,83,459,11667,12208,46917,113875,23500,97458,83,186.4,96.6,281885,265
64,128,2000000,7002,22088,83,458,11084,11624,30125,38999,22251,49666,83,182.5,95.0,280576,266
64,512,20000,7002,6474,125,458,10875,11458,30374,47624,20874,48875,125,5.7,4.8,5594,269
64,512,20000,7002,6474,125,458,10875,11458,29625,34708,20833,49709,125,5.6,4.8,5528,269
64,512,20000,7002,6474,125,417,10750,11374,29000,36749,20708,48833,125,5.6,4.8,5549,261
64,512,200000,7002,6888,125,416,10833,11416,30750,36750,20791,48375,125,22.3,16.0,34135,274
64,512,200000,7002,6888,125,416,10958,11542,31666,36000,21042,51500,125,22.6,15.7,33365,276
64,512,200000,7002,6888,125,375,10667,11249,29625,36167,20542,47750,125,22.0,15.5,33242,282
64,512,2000000,7002,10404,83,458,11583,12167,81459,142250,23167,126792,84,289.8,133.5,311145,277
64,512,2000000,7002,10404,83,458,11458,12000,35001,39208,22708,55333,83,184.7,119.9,305683,276
64,512,2000000,7002,10404,83,417,10833,11375,32250,74500,21417,54375,83,183.6,122.0,305996,270
